Field,Type,Original term,Description
department,string,,Optional. Department of a vmbo track.
education_name,string,,Name of the education programme.
education_structure,string,,Level of education [#edu_in_holland]_.
element_code,integer,,Unknown.
lwoo,boolean,,"Indicates whether this sector supports 'Leerwegondersteunend onderwijs', for students who need additional guidance [#lwoo]_."
vmbo_sector,string,,Vmbo sector [#sectors]_.
year_1,mapping,,Distribution of male and female students for year 1.
year_2,mapping,,Distribution of male and female students for year 2.
year_3,mapping,,Distribution of male and female students for year 3.
year_4,mapping,,Distribution of male and female students for year 4.
year_5,mapping,,Distribution of male and female students for year 5.
year_6,mapping,,Distribution of male and female students for year 6.
