Field,Type,Original term,Description
vso,integer,VSO,Number of students with VSO advice
pro,integer,PrO,Number of students with PrO advice
vmbo_bl,integer,VMBO BL,Number of students with VMBO BL advice
vmbo_bl_kl,integer,VMBO BL-KL,Number of students with VMBO BL-KL advice
vmbo_kl,integer,VMBO KL,Number of students with VMBO KL advice
vmbo_kl_gt,integer,VMBO KL-GT,Number of students with VMBO KL-GT advice
vmbo_gt,integer,VMBO GT,Number of students with VMBO GT advice
vmbo_gt_havo,integer,VMBO GT-HAVO,Number of students with VMBO GT-HAVO advice
havo,integer,HAVO,Number of students with HAVO advice
havo_vwo,integer,HAVO-VWO,Number of students with HAVO-VWO advice
vwo,integer,VWO,Number of students with VWO advice
unknown,integer,ONBEKEND,Number of students with unknown advice
