Field,Type,Original term,Description
"address",":ref:`duo-Address`","","Address of this branch."
"correspondence_address",":ref:`duo-Address`","","Correspondence address of this branch."
"name","string","","Name of the school."
"branch_id","integer","","Identifier (assigned by :ref:`duodata`) of this branch."
"board_id","integer","","Identifier (assigned by :ref:`duodata`) of the board of this branch."
"brin","string","","'Basis Registratie Instellingen-nummer', identifier of the school this branch belongs to. Alphanumeric, four characters long."
"corop_area","string","`COROP-gebied`_","A COROP area in the Netherlands is a region consisting of several municipalities, and is primarily used by research institutions to present statistical data."
"corop_area_code","integer","","Identifier of the corop_area."
"denomination","string","","In the Netherlands, schools can be based on a (religious [#denomination]_) conviction, which is denoted here."
"education_area","string","`Onderwijsgebied`_","Education areas are aggregations of nodal areas based on regional origins and destinations of students in secondary education."
"education_area_code","integer","","Identifier of the education_area."
"structure","array of structure (String)","","Structure"
"students_by_structure","array of :ref:`duo-students_by_structure`","","Students By Structure"
"municipality","string","","The name of the municipality this branch is located in."
"municipality_code","integer","","Identifier (assigned by CBS [#cbs]_) to this municipality."
"nodal_area","string","`Nodaal gebied`_","Area defined for the planning of distribution of secondary schools."
"nodal_area_code","integer","","Identifier of the nodal_area."
"phone","string","","Phone number of the school."
"province","string","","The province [#provinces]_ this branch is situated in."
"reference_year","integer","Peiljaar","Year the schools source file was published."
"rmc_region","string","`Rmc-regio`_","Area that is used for the coordination of school dropouts."
"rmc_region_code","integer","","Identifier of the rmc_region."
"rpa_area","string","`Rpa-gebied`_","Area defined to cluster information on the labour market."
"rpa_area_code","integer","","Identifier of the rpa_area."
"website","string","","Website of this school."
"wgr_area","string","`Wgr-gebied`_","Cluster of municipalities per collaborating region according to the 'Wet gemeenschappelijke regelingen' [#wgr_law]_."
"wgr_area_code","integer","","Identifier of the wgr_area."
"vavo_students_reference_url","string","","Vavo Students Reference Url"
"vavo_students_reference_date","date","","Vavo Students Reference Date"
"vavo_students","array of :ref:`duo-vavo_students`","","Vavo Students"
"students_by_finegrained_structure_reference_url","string","","Students By Finegrained Structure Reference Url"
"students_by_finegrained_structure_reference_date","date","","Students By Finegrained Structure Reference Date"
"students_by_finegrained_structure","array of :ref:`duo-students_by_finegrained_structure`","","Students By Finegrained Structure"
"graduation","array of :ref:`duo-graduation`","Examenkandidaten en geslaagden","Graduation"
"graduations_reference_date","date","Peildatum","Date the graduations source file was published at http://data.duo.nl"
"student_residence","array of :ref:`duo-student_residence`","","Student Residence"
"student_residences_reference_date","date","Peildatum","Date the student residences source file was published at http://data.duo.nl"
"students_by_structure_reference_date","date","","Students By Structure Reference Date"
"students_by_structure_url","string","","Students By Structure Url"
"exam_grades",":ref:`duo-GradesPerCourse`","","Exam Grades"
"exam_grades_reference_date","date","","Exam Grades Reference Date"
"exam_grades_reference_url","string","","Exam Grades Reference Url"
"vmbo_exam_grades_per_course",":ref:`duo-GradesPerCourse`","","Vmbo Exam Grades Per Course"
"vmbo_exam_grades_reference_date","date","","Vmbo Exam Grades Reference Date"
"vmbo_exam_grades_reference_url","string","","Vmbo Exam Grades Reference Url"
"havo_exam_grades_per_course",":ref:`duo-GradesPerCourse`","","Havo Exam Grades Per Course"
"havo_exam_grades_reference_date","date","","Havo Exam Grades Reference Date"
"havo_exam_grades_reference_url","string","","Havo Exam Grades Reference Url"
"vwo_exam_grades_per_course",":ref:`duo-GradesPerCourse`","","Vwo Exam Grades Per Course"
"vwo_exam_grades_reference_date","date","","Vwo Exam Grades Reference Date"
"vwo_exam_grades_reference_url","string","","Vwo Exam Grades Reference Url"
